Date,Canada,Japan,France,Germany,Italy,Switzerland,UK,US,World
20010701,-0.011150532,-0.08053263,-0.001507085,-0.002274646,0.015389482,-0.015644462,-0.005443442,-0.016319516,-0.019937285
20010801,-0.061707278,-0.031058914,-0.040190159,-0.077267625,-0.016256685,-0.009719253,-0.020319327,-0.073877474,-0.055489141
20010901,-0.100706463,-0.102182182,-0.122886658,-0.168453512,-0.143769783,-0.052152695,-0.073644287,-0.083425193,-0.095216234
20011001,-0.005673599,-0.007978281,0.044136634,0.037975979,0.025897195,-0.003767534,0.012335988,0.007557661,0.012549215
20011101,0.084564507,0.004891844,0.023478009,0.081778479,0.012281857,0.015775039,0.013728215,0.069396102,0.052023749
20011201,0.00818012,-0.073644224,0.025724834,0.024543218,0.006946092,0.014185583,0.017247973,-0.000851662,-0.000400398
20020101,-0.014220665,-0.084339265,-0.069636434,-0.052680657,-0.041494866,-0.061502086,-0.04864754,-0.021131705,-0.036989043
20020201,-0.017560863,0.035333174,0.00252267,-0.019192008,-0.008305496,0.022875055,-0.015018488,-0.027098496,-0.015960737
20020301,0.028102781,0.047457012,0.046933892,0.073286724,0.057604047,0.055500109,0.034856106,0.030417473,0.036446911
20020401,-0.014380617,0.052205752,-0.022680399,-0.038574387,-0.003118304,0.018020189,-0.004355755,-0.071670058,-0.041220313
20020501,0.014249711,0.056294936,-0.009958381,-0.022967109,-0.0375834,0.030094027,-0.024666543,-0.014995467,-0.006416215
20020601,-0.06442708,-0.058256123,-0.037719397,-0.037372412,-0.011207293,-0.045799522,-0.049972884,-0.083462473,-0.068031499
20020701,-0.119404901,-0.075488842,-0.141355852,-0.171426441,-0.107269277,-0.126220077,-0.074827929,-0.078943449,-0.091107016
20020801,0.005199586,-0.016728208,-0.021869222,-0.001663605,0.007983403,-0.007339685,-0.022415747,-0.002814092,-0.005960267
20020901,-0.088232341,-0.053475908,-0.159360545,-0.249513919,-0.143840247,-0.071770217,-0.111254339,-0.120212302,-0.117250906
20021001,0.023154996,-0.075706314,0.123934144,0.133807806,0.076930821,0.027937053,0.070819717,0.083263327,0.066752002
20021101,0.051224518,0.033951429,0.036254265,0.050661894,0.087068176,0.019014775,0.021577881,0.052343456,0.046517859
20021201,-0.015683933,-0.031547068,-0.03366487,-0.082751439,-0.027400654,-0.031867349,-0.028752485,-0.068009225,-0.055499023
20030101,0.020845254,-0.046599432,-0.039441565,-0.033025983,-0.021148852,-0.040164035,-0.077170153,-0.031445589,-0.037225109
20030201,0.027258278,-0.000347374,-0.05500598,-0.075677035,0.025075156,-0.058952378,-0.027447382,-0.023177679,-0.025041588
20030301,-0.021010189,-0.055696415,-0.043173851,-0.043839419,-0.084877532,-0.015204681,-0.014410105,0.001948878,-0.011626514
20030401,0.056725616,-0.013887767,0.147014739,0.21788828,0.128771892,0.099192674,0.094470006,0.076230946,0.080390036
20030501,0.077885934,0.042050642,0.054529786,0.050934021,0.098636213,0.05408642,0.052102144,0.045799284,0.048527101
20030601,0.018479378,0.067467746,0.003834662,0.041276093,-0.038098025,-0.007330547,0.000752687,0.004957178,0.009643929
20030701,-0.003467955,0.034557051,0.011499762,0.053217326,-0.008562872,0.033393264,-0.001279937,0.011184936,0.013187983
20030801,0.044523108,0.099227017,0.001321348,-0.022716815,-0.038392214,-0.015128699,-0.019736411,0.01113177,0.013761653
20030901,0.009949536,0.049816905,-0.001725616,-0.013315658,0.032328184,0.037128765,0.027296144,-0.018904621,-0.001231541
20031001,0.060314429,0.039699043,0.062359223,0.113058658,0.04290672,0.016205991,0.060658487,0.049500984,0.0523373
20031101,0.022449544,-0.036977234,0.045630578,0.047178213,0.073822392,0.047337556,0.019838468,0.002007137,0.007827676
20031201,0.046711969,0.062927272,0.084298299,0.10789608,0.040687017,0.073274422,0.068401091,0.04423704,0.05578056
20040101,0.003575244,0.012067735,0.001463107,0.003011764,0.014409572,0.020123396,-0.00945002,0.011011556,0.009411293
20040201,0.014707861,-0.009137713,0.019443076,-0.014299549,0.004963797,-0.002803367,0.036514038,0.004456259,0.009546109
20040301,-0.012239409,0.123469748,-0.0416046,-0.053383631,-0.040239346,-0.030927212,-0.037400594,-0.023169192,-0.014881315
20040401,-0.090185203,-0.060414307,-0.018490462,-0.009647132,0.007286948,-0.00032655,-0.01497854,-0.022480358,-0.028187457
20040501,0.019064796,-0.041557709,0.011084275,-0.005971884,-0.014527446,0.001445906,0.012773597,0.005689402,0.000729062
20040601,0.034911269,0.047532426,0.007870198,0.021076467,0.019110319,-0.00574152,-0.008369492,0.011395757,0.013074913
20040701,-0.006119463,-0.065302211,-0.03703851,-0.055130531,-0.030408046,-0.040118522,-0.016738052,-0.041256629,-0.039432971
