Date,Energy,Material,Industrials,Cons-Discr.,Cons-Staples,Helth-Care,Financials,Inf-Tech.,Telecom,Utilities,S\&P500
19970530,0.0874,0.0763,0.069,0.0617,0.0573,0.0573,0.0561,0.1285,0.0685,0.0314,0.0576
19970630,0.0251,0.006999999999999999,0.0345,0.0463,0.0253,0.0792,0.0496,-0.0194,0.043,0.0224,0.0409
19970731,0.0804,0.0642,0.053,0.0727,0.0481,0.0425,0.1212,0.1725,0.0107,0.0192,0.0771
19970829,0.0137,-0.0271,-0.0452,-0.0351,-0.0565,-0.068,-0.0574,-0.0122,-0.0501,-0.0106,-0.0597
19970930,0.0772,0.0339,0.0469,0.0404,0.0681,0.0383,0.08,0.0186,0.07400000000000001,0.0303,0.0497
19971031,-0.0272,-0.1179,-0.0388,-0.0481,-0.0226,-0.0181,-0.0302,-0.1345,-0.0085,0.0149,-0.0368
19971128,-0.0348,-0.0506,0.0191,0.0203,0.0495,0.0494,0.0192,0.0042,0.0818,0.0636,0.0429
19971231,0.0019,-0.0429,-0.0117,-0.0038,0.0411,0.0113,0.0458,-0.0853,-0.0046,0.0734,0.0128
19980130,-0.0834,0.0149,-0.0191,-0.0182,-0.0167,0.0868,-0.0466,0.0911,0.0719,-0.0461,0.0079
19980227,0.0917,0.0458,0.1135,0.0896,0.0481,0.05,0.08900000000000001,0.1029,0.0132,0.0375,0.0686
19980331,0.0307,0.0455,0.0355,0.0525,0.0477,0.0522,0.0618,0.0055,0.0978,0.0504,0.0472
19980430,0.0159,0.0459,0.0006,0.0019,-0.0408,0.0073,0.0262,0.0536,-0.0384,-0.028999999999999998,0.0071
19980529,-0.0433,-0.0694,-0.0403,-0.0049,0.0035,-0.0126,-0.0283,-0.111,-0.002,-0.011000000000000001,-0.0216
19980630,-0.0437,-0.0439,-0.046,-0.0022,0.0241,0.0741,0.031,0.0234,0.0307,0.0313,0.0372
19980731,-0.0973,-0.0584,-0.1079,-0.0572,-0.0301,0.0023,-0.0307,-0.0232,0.0302,-0.0578,-0.0141
19980831,-0.149,-0.1543,-0.1984,-0.1712,-0.1228,-0.1195,-0.2199,-0.1467,-0.077,-0.0111,-0.1485
